,0,1,2
21,601150,Devil May Cry 5,"[{""name"": ""Action"", ""tagid"": 19}, {""name"": ""Hack and Slash"", ""tagid"": 1646}, {""name"": ""Great Soundtrack"", ""tagid"": 1756}, {""name"": ""Character Action Game"", ""tagid"": 3955}, {""name"": ""Demons"", ""tagid"": 9541}, {""name"": ""Spectacle fighter"", ""tagid"": 4777}, {""name"": ""Third Person"", ""tagid"": 1697}, {""name"": ""Singleplayer"", ""tagid"": 4182}, {""name"": ""Violent"", ""tagid"": 4667}, {""name"": ""Stylized"", ""tagid"": 4252}]"
22,629760,MORDHAU,"[{""name"": ""Medieval"", ""tagid"": 4172}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""First-Person"", ""tagid"": 3839}, {""name"": ""Swordplay"", ""tagid"": 4608}, {""name"": ""Gore"", ""tagid"": 4345}, {""name"": ""PvP"", ""tagid"": 1775}, {""name"": ""Online Co-Op"", ""tagid"": 3843}, {""name"": ""Action"", ""tagid"": 19}, {""name"": ""Fighting"", ""tagid"": 1743}, {""name"": ""PvE"", ""tagid"": 6730}]"
23,594570,Total War: WARHAMMER II,"[{""name"": ""Strategy"", ""tagid"": 9}, {""name"": ""Fantasy"", ""tagid"": 1684}, {""name"": ""Turn-Based Strategy"", ""tagid"": 1741}, {""name"": ""RTS"", ""tagid"": 1676}, {""name"": ""Grand Strategy"", ""tagid"": 4364}, {""name"": ""War"", ""tagid"": 1678}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Games Workshop"", ""tagid"": 5310}, {""name"": ""Action"", ""tagid"": 19}, {""name"": ""Turn-Based"", ""tagid"": 1677}]"
24,255710,Cities: Skylines,"[{""name"": ""City Builder"", ""tagid"": 4328}, {""name"": ""Simulation"", ""tagid"": 599}, {""name"": ""Building"", ""tagid"": 1643}, {""name"": ""Management"", ""tagid"": 12472}, {""name"": ""Strategy"", ""tagid"": 9}, {""name"": ""Sandbox"", ""tagid"": 3810}, {""name"": ""Singleplayer"", ""tagid"": 4182}, {""name"": ""Moddable"", ""tagid"": 1669}, {""name"": ""Economy"", ""tagid"": 4695}, {""name"": ""Resource Management"", ""tagid"": 8945}]"
25,582660,Black Desert,"[{""name"": ""MMORPG"", ""tagid"": 1754}, {""name"": ""Massively Multiplayer"", ""tagid"": 128}, {""name"": ""RPG"", ""tagid"": 122}, {""name"": ""Open World"", ""tagid"": 1695}, {""name"": ""Character Customization"", ""tagid"": 4747}, {""name"": ""Adventure"", ""tagid"": 21}, {""name"": ""Fantasy"", ""tagid"": 1684}, {""name"": ""Strategy"", ""tagid"": 9}, {""name"": ""Action"", ""tagid"": 19}, {""name"": ""3D"", ""tagid"": 4191}]"
26,346110,ARK: Survival Evolved,"[{""name"": ""Open World Survival Craft"", ""tagid"": 1100689}, {""name"": ""Survival"", ""tagid"": 1662}, {""name"": ""Open World"", ""tagid"": 1695}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Dinosaurs"", ""tagid"": 5160}, {""name"": ""Crafting"", ""tagid"": 1702}, {""name"": ""Building"", ""tagid"": 1643}, {""name"": ""Adventure"", ""tagid"": 21}, {""name"": ""Base Building"", ""tagid"": 7332}, {""name"": ""Co-op"", ""tagid"": 1685}]"
27,236390,War Thunder,"[{""name"": ""Free to Play"", ""tagid"": 113}, {""name"": ""World War II"", ""tagid"": 4150}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Simulation"", ""tagid"": 599}, {""name"": ""Flight"", ""tagid"": 15045}, {""name"": ""War"", ""tagid"": 1678}, {""name"": ""Tanks"", ""tagid"": 13276}, {""name"": ""Military"", ""tagid"": 4168}, {""name"": ""Massively Multiplayer"", ""tagid"": 128}, {""name"": ""Action"", ""tagid"": 19}]"
28,703080,Planet Zoo,"[{""name"": ""Management"", ""tagid"": 12472}, {""name"": ""Simulation"", ""tagid"": 599}, {""name"": ""Building"", ""tagid"": 1643}, {""name"": ""Sandbox"", ""tagid"": 3810}, {""name"": ""Nature"", ""tagid"": 30358}, {""name"": ""City Builder"", ""tagid"": 4328}, {""name"": ""Economy"", ""tagid"": 4695}, {""name"": ""Realistic"", ""tagid"": 4175}, {""name"": ""Family Friendly"", ""tagid"": 5350}, {""name"": ""Singleplayer"", ""tagid"": 4182}]"
29,632360,Risk of Rain 2,"[{""name"": ""Third-Person Shooter"", ""tagid"": 3814}, {""name"": ""Action Roguelike"", ""tagid"": 42804}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Action"", ""tagid"": 19}, {""name"": ""Roguelite"", ""tagid"": 3959}, {""name"": ""Co-op"", ""tagid"": 1685}, {""name"": ""Looter Shooter"", ""tagid"": 353880}, {""name"": ""Roguelike"", ""tagid"": 1716}, {""name"": ""Loot"", ""tagid"": 4236}, {""name"": ""Shooter"", ""tagid"": 1774}]"
30,49520,Borderlands 2,"[{""name"": ""Loot"", ""tagid"": 4236}, {""name"": ""Shooter"", ""tagid"": 1774}, {""name"": ""Action"", ""tagid"": 19}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Co-op"", ""tagid"": 1685}, {""name"": ""Looter Shooter"", ""tagid"": 353880}, {""name"": ""FPS"", ""tagid"": 1663}, {""name"": ""RPG"", ""tagid"": 122}, {""name"": ""First-Person"", ""tagid"": 3839}, {""name"": ""Funny"", ""tagid"": 4136}]"
